
> nodebb@4.8.0 lint:jshint
> jshint .

install/databases.js: line 3, col 7, Redefinition of 'prompt'.

install/docker/mongodb-user-init.js: line 1, col 140, Missing semicolon.
install/docker/mongodb-user-init.js: line 1, col 1, 'db' is not defined.

src/activitypub/actors.js: line 91, col 163, Line is too long.
src/activitypub/actors.js: line 128, col 159, Line is too long.
src/activitypub/actors.js: line 305, col 159, Line is too long.
src/activitypub/actors.js: line 449, col 160, Line is too long.
src/activitypub/actors.js: line 687, col 191, Line is too long.

src/activitypub/feps.js: line 59, col 170, Line is too long.
src/activitypub/feps.js: line 71, col 166, Line is too long.

src/activitypub/inbox.js: line 432, col 9, Expected a 'break' statement before 'case'.
src/activitypub/inbox.js: line 593, col 81, Expected '{' and instead saw 'return'.
src/activitypub/inbox.js: line 606, col 79, Expected '{' and instead saw 'return'.
src/activitypub/inbox.js: line 694, col 144, Line is too long.

src/activitypub/mocks.js: line 206, col 155, Line is too long.
src/activitypub/mocks.js: line 318, col 155, Line is too long.

src/activitypub/notes.js: line 197, col 141, Line is too long.
src/activitypub/notes.js: line 432, col 9, It's not necessary to initialize 'cid' to 'undefined'.
src/activitypub/notes.js: line 581, col 152, Line is too long.

src/analytics.js: line 36, col 30, Expected '{' and instead saw 'return'.

src/api/categories.js: line 173, col 35, Functions declared within loops referencing an outer scoped variable may lead to confusing semantics. (cids)

src/api/chats.js: line 45, col 172, Line is too long.

src/api/users.js: line 690, col 33, Confusing use of '!'.

src/cache/lru.js: line 16, col 229, Line is too long.
src/cache/lru.js: line 27, col 231, Line is too long.
src/cache/lru.js: line 35, col 165, Line is too long.

src/cache/ttl.js: line 13, col 165, Line is too long.

src/categories/icon.js: line 7, col 9, Expected an identifier and instead saw 'default' (a reserved word).
src/categories/icon.js: line 21, col 156, Line is too long.
src/categories/icon.js: line 37, col 152, Line is too long.

src/categories/topics.js: line 135, col 148, Line is too long.

src/categories/watch.js: line 17, col 13, Confusing use of '!'.
src/categories/watch.js: line 25, col 48, Confusing use of '!'.
src/categories/watch.js: line 45, col 162, Line is too long.

src/cli/manage.js: line 79, col 203, Line is too long.
src/cli/manage.js: line 140, col 179, Line is too long.

src/cli/reset.js: line 123, col 199, Line is too long.
src/cli/reset.js: line 146, col 195, Line is too long.

src/cli/setup.js: line 19, col 145, Line is too long.

src/cli/upgrade-plugins.js: line 3, col 7, Redefinition of 'prompt'.
src/cli/upgrade-plugins.js: line 78, col 156, Line is too long.
src/cli/upgrade-plugins.js: line 129, col 162, Line is too long.
src/cli/upgrade-plugins.js: line 154, col 155, Line is too long.

src/cli/user.js: line 3, col 18, Redefinition of 'Option'.
src/cli/user.js: line 39, col 144, Line is too long.
src/cli/user.js: line 225, col 144, Line is too long.

src/controllers/accounts/chats.js: line 107, col 9, Confusing use of '!'.

src/controllers/accounts/edit.js: line 42, col 149, Line is too long.

src/controllers/accounts/helpers.js: line 96, col 157, Line is too long.
src/controllers/accounts/helpers.js: line 97, col 153, Line is too long.
src/controllers/accounts/helpers.js: line 124, col 152, Line is too long.

src/controllers/accounts/settings.js: line 101, col 149, Line is too long.
src/controllers/accounts/settings.js: line 267, col 2, Unnecessary semicolon.

src/controllers/activitypub/actors.js: line 130, col 156, Line is too long.

src/controllers/admin/categories.js: line 73, col 143, Line is too long.

src/controllers/admin/dashboard.js: line 232, col 17, Expected '{' and instead saw 'return'.
src/controllers/admin/dashboard.js: line 303, col 143, Line is too long.
src/controllers/admin/dashboard.js: line 330, col 143, Line is too long.

src/controllers/admin/uploads.js: line 302, col 148, Line is too long.

src/controllers/api.js: line 86, col 146, Line is too long.
src/controllers/api.js: line 87, col 145, Line is too long.
src/controllers/api.js: line 88, col 143, Line is too long.
src/controllers/api.js: line 89, col 150, Line is too long.

src/controllers/authentication.js: line 195, col 243, Line is too long.

src/controllers/categories.js: line 54, col 159, Line is too long.

src/controllers/errors.js: line 43, col 67, 'next' is defined but never used.

src/controllers/helpers.js: line 485, col 75, Expected a 'break' statement before 'case'.

src/controllers/home.js: line 10, col 146, Line is too long.

src/controllers/index.js: line 116, col 147, Line is too long.

src/controllers/popular.js: line 18, col 153, Line is too long.

src/controllers/recent.js: line 61, col 148, Line is too long.

src/controllers/service-worker.js: line 36, col 170, Line is too long.
src/controllers/service-worker.js: line 45, col 68, Strings must use singlequote.

src/controllers/top.js: line 18, col 145, Line is too long.

src/controllers/topics.js: line 67, col 152, Line is too long.
src/controllers/topics.js: line 72, col 173, Line is too long.

src/controllers/unread.js: line 42, col 148, Line is too long.

src/database/index.js: line 48, col 22, Expected '{' and instead saw 'reject'.
src/database/index.js: line 49, col 18, Expected '{' and instead saw 'resolve'.

src/database/mongo/sorted/add.js: line 20, col 151, Line is too long.

src/database/mongo/sorted/intersect.js: line 143, col 67, Functions declared within loops referencing an outer scoped variable may lead to confusing semantics. (module)

src/database/mongo/sorted.js: line 275, col 149, Line is too long.
src/database/mongo/sorted.js: line 284, col 157, Line is too long.
src/database/mongo/sorted.js: line 303, col 156, Line is too long.

src/database/mongo.js: line 8, col 7, Redefinition of 'prompt'.
src/database/mongo.js: line 24, col 252, Line is too long.

src/database/postgres/hash.js: line 359, col 152, Line is too long.
src/database/postgres/hash.js: line 368, col 152, Line is too long.

src/database/postgres.js: line 355, col 144, Line is too long.

src/database/redis/connection.js: line 53, col 13, Confusing use of '!'.

src/database/redis/sorted/intersect.js: line 43, col 24, ['AGGREGATE'] is better written in dot notation.

src/flags.js: line 162, col 154, Line is too long.
src/flags.js: line 900, col 17, Confusing use of '!'.

src/groups/data.js: line 85, col 144, Line is too long.
src/groups/data.js: line 91, col 168, Line is too long.

src/groups/ownership.js: line 11, col 13, Confusing use of '!'.

